iteration,parameter,value,parset
47,app.mthd.cs.f0,-4.74420635722361,3-047
48,app.mthd.cs.f0,-9.72198537052742,3-048
49,app.mthd.cs.f0,-10.9410352422631,3-049
50,app.mthd.cs.f0,13.5240654494718,3-050
51,app.mthd.cs.f0,1.19578251076042,3-051
52,app.mthd.cs.f0,-5.83354187418342,3-052
53,app.mthd.cs.f0,-2.49444971181456,3-053
54,app.mthd.cs.f0,-6.48377920471647,3-054
55,app.mthd.cs.f0,-7.17163252549719,3-055
56,app.mthd.cs.f0,-4.79935818021753,3-056
57,app.mthd.cs.f0,-1.55910719539655,3-057
58,app.mthd.cs.f0,-6.00844510700454,3-058
59,app.mthd.cs.f0,-5.14759135961361,3-059
60,app.mthd.cs.f0,-1.93589528510685,3-060
61,app.mthd.cs.f0,-7.37258357584064,3-061
62,app.mthd.cs.f0,-3.27917261549507,3-062
63,app.mthd.cs.f0,-5.46678495876837,3-063
64,app.mthd.cs.f0,-0.171986255528597,3-064
65,app.mthd.cs.f0,6.12025466102666,3-065
66,app.mthd.cs.f0,-7.1309174140742,3-066
67,app.mthd.cs.f0,0.178170709649547,3-067
68,app.mthd.cs.f0,-2.78999231197465,3-068
69,app.mthd.cs.f0,-4.44097803197345,3-069
70,app.mthd.cs.f0,-8.62297858119825,3-070
71,app.mthd.cs.f0,-8.87331970232054,3-071
72,app.mthd.cs.f0,-4.84143927991876,3-072
73,app.mthd.cs.f0,-9.00528513407938,3-073
74,app.mthd.cs.f0,-2.80570478429434,3-074
75,app.mthd.cs.f0,-8.17632873192063,3-075
